ad_id	site_id	frequency	total_users
logo	realtor	148	1
logo	realtor	108	1
edmunds_custom_1x1	edmunds	100	1
babyfirstcatpack	evite	94	1
logo	realtor	94	1
logo	realtor	90	2
dinnerseriespkg	evite	88	1
logo	realtor	84	1
bonapp_highimpactcrown_1920x520	bonappetit	82	1
bonapp_highimpactcrown_1920x520	bonappetit	80	1
-	teads	78	1
logo	realtor	78	1
creative	thebump_mobile	76	1
logo	realtor	74	2
logo	realtor	72	1
edmunds_custom_1x1	edmunds	70	1
logo	realtor	70	3
dynamiccriteo	criteo	70	1
logo	realtor	68	1
logo	realtor	66	3
displaysequential	clearstream	66	1
native	sheknows	64	1
-	tremor	64	1
tremorSuperPreroll_7806656	tremor	62	1
logo	realtor	62	5
728x90	specificmedia1	60	1
logo	realtor	60	2
edmunds_custom_1x1	edmunds	60	1
logo	realtor	58	2
728x90_tortillakit_345g_fresh	aap	56	1
logo	realtor	56	3
creative	vibrantmedia	56	1
bonapp_highimpactcrown_1920x520	bonappetit	56	1
kidsactivities	evite	56	1
logo	realtor	54	1
-	tremor	54	1
dynamiccriteo	criteo	52	1
logo	realtor	52	2
logo	realtor	50	3
video	specificmedia1	50	1
78134286	N5371.157906.TIMEINC.COM	50	1
138212654749	meredith	50	1
logo	realtor	48	3
137725	dstillery	48	1
bonapp_highimpactcrown_1920x520	bonappetit	48	1
728x90_fajitakit_500g_fresh	aap	46	1
logo	realtor	46	5
kidsactivities	evite	46	1
homes_custom_1x1	homes	46	1
edmunds_custom_1x1	edmunds	44	1
logo	realtor	44	5
300x600	Uol	44	1
138212735738	meredith	44	1
94247308	N428001.3027484BASISDSP	44	1
logo	realtor	42	9
native3	brightrollexchange	42	1
zillow_custom_1x1	zillow	42	1
78134974	N5371.157906.TIMEINC.COM	40	1
bonapp_highimpactcrown_1920x520	bonappetit	40	1
160x600	specificmedia1	40	1
displayretargeting	clearstream	40	1
homes_custom_1x1	homes	40	2
logo	realtor	40	7
video	specificmedia1	38	1
bonapp_highimpactcrown_1920x520	bonappetit	38	1
zillow_custom_1x1	zillow	38	1
logo	realtor	38	8
logo	realtor	36	9
-	clearstream	36	1
homes_custom_1x1	homes	36	1
bonapp_highimpactcrown_1920x520	bonappetit	36	2
728x90	specificmedia1	36	1
edmunds_custom_1x1	edmunds	36	1
video	clearstream	34	1
zillow_custom_1x1	zillow	34	1
300x250_mpu	tuneinmobile	34	1
logo	realtor	34	15
728x90	specificmedia1	34	1
edmunds_custom_1x1	edmunds	34	1
evu	meredithvideo	32	1
bonapp_highimpactcrown_1920x520	bonappetit	32	1
dinnerseriespkg	evite	32	1
spavideo	quantcast	32	1
2018825	7704	32	1
logo	realtor	32	20
video	clearstream	32	2
92060577	N9724.288332ACCUEN	32	1
homes_custom_1x1	homes	32	1
homes_custom_1x1	homes	30	1
logo	realtor	30	20
728x90	specificmedia1	30	1
kidsactivities	evite	30	1
video	clearstream	30	1
babyshowercatpack	evite	30	1
halloweenforkids	evite	30	1
94197988	N572608.468584AMNETGROUP0	30	1
video	conversant	30	1
1074482317	70120	30	1
160x600	specificmedia1	30	1
808109	videology	30	1
creative	vibrantmedia	28	1
728x90	specificmedia1	28	1
kidsactivities	evite	28	1
display_banners	google	28	1
logo	realtor	28	29
dynamiccriteo	criteo	28	1
bonapp_highimpactcrown_1920x520	bonappetit	28	2
homes_custom_1x1	homes	28	2
moving30	clearstream	28	1
amp	sheknows	28	1
46777502	171	26	1
78134286	N5371.157906.TIMEINC.COM	26	1
video	clearstream	26	1
dynamiccriteo	criteo	26	1
138214751056	meredith	26	1
parentsbun	evite	26	1
logo	realtor	26	36
1074482319	70120	26	1
808109	videology	26	1
homes_custom_1x1	homes	26	1
edmunds_custom_1x1	edmunds	26	1
kidsactivities	evite	26	1
160x600	specificmedia1	26	1
creative	babycentermobile	26	1
46777504	171	26	1
bonapp_highimpactcrown_1920x520	bonappetit	24	3
creative	babycentermobile	24	2
138211697320	meredith	24	1
native3	brightrollexchange	24	1
78134286	N5371.157906.TIMEINC.COM	24	1
300x100_ign_rosfeaturedunit_x1x	ign	24	1
zillow_custom_1x1	zillow	24	1
dynamiccriteo	criteo	24	3
kidsactivities	evite	24	1
mlb_sponsorship_300x250_mobile	tuneinmobile	24	1
aap	aap	24	1
92092795	N9724.288332ACCUEN	24	1
92855207	N46002.1607AMERICANKENNELCLUB	24	1
wedding30	clearstream	24	1
137750	dstillery	24	1
video	clearstream	24	1
edmunds_custom_1x1	edmunds	24	1
contobox-300x600-1x1	rogers	24	1
homes_custom_1x1	homes	24	1
logo	realtor	24	39
728x90_october_amnettarget_contextual_stickya	amnetgroup	22	1
1988574	7704	22	2
bonapp_highimpactcrown_1920x520	bonappetit	22	2
78134974	N5371.157906.TIMEINC.COM	22	2
94344092	N428001.3027484BASISDSP	22	1
homes_custom_1x1	homes	22	1
logo	realtor	22	34
displaysequential	clearstream	22	1
300x250	aap	22	1
creative	vibrantmedia	22	1
2014831	7704	22	1
300x100_ign_rosfeaturedunit_x1x	ign	22	2
video	clearstream	22	2
video	specificmedia1	22	1
zillow_custom_1x1	zillow	22	1
dynamiccriteo	criteo	22	1
793214	videology	22	1
edmunds_custom_1x1	edmunds	22	2
-	aol	22	1
creative	vibrantmedia	20	1
branding_2	torcedores	20	3
sojernjivox	sojern	20	1
160x600	amazonproper	20	1
1988574	7704	20	1
300x250	aap	20	1
793214	videology	20	1
video	conversant	20	1
300x100_ign_rosfeaturedunit_x1x	ign	20	1
logo	realtor	20	44
728x90	specificmedia1	20	4
bonapp_highimpactcrown_1920x520	bonappetit	20	3
300x250	tripadvisor	20	1
video	clearstream	20	2
46777506	171	20	1
92060577	N9724.288332ACCUEN	20	1
970x250	forbes	20	1
728x90_october_amnettarget_contextual_stickya	amnetgroup	20	1
creative	babycentermobile	20	1
edmunds_custom_1x1	edmunds	20	4
94197988	N572608.468584AMNETGROUP0	20	1
native3	brightrollexchange	20	1
probabilistic_fox_728x90	dcbm	20	1
zillow_custom_1x1	zillow	20	3
793216	videology	20	1
300x250_october_amnettarget_ctx_pdp_medrec_bt	amnetgroup	20	1
300x250	conversant	20	1
babyshowercatpack	evite	20	1
halloweenforkids	evite	20	1
video	specificmedia1	20	4
dynamiccriteo	criteo	20	6
customcontent	wayfair	20	1
1024x100_october_amnettarget_pb_baseboard_a	amnetgroup	20	1
dinnerseriespkg	evite	18	1
137725	dstillery	18	1
displaysequential	clearstream	18	2
78134286	N5371.274177.WEBMD	18	1
creative	babycentermobile	18	1
creative	radiumone	18	1
728x90	specificmedia1	18	1
native3	brightrollexchange	18	1
edmunds_custom_1x1	edmunds	18	6
160x600	specificmedia1	18	2
728x90leaderboard	fusionmediagroup	18	1
kidsactivities	evite	18	5
homes_custom_1x1	homes	18	2
parentsbundle	evite	18	1
137733	dstillery	18	1
standardvideo	clearstream	18	1
ronmedia	cafemedia	18	1
contobox	specificmedia1	18	1
zillow_custom_1x1	zillow	18	5
970x250	fusionmediagroup	18	1
970x250	amazon	18	1
812417	videology	18	1
video	resonateinsights	18	1
300x250	aap	18	1
walmartsite-serveddisplay	walmart	18	1
homepage1x1nonsurveyable	amazonproper	18	1
dynamiccriteo	criteo	18	3
bonapp_highimpactcrown_1920x520	bonappetit	18	4
creative	bustlemobile	18	3
-	tapad	18	2
-	clearstream	18	2
48208962	36210	18	1
92092795	N9724.288332ACCUEN	18	1
